Value,Disaggregation combinations using this value,Number of indicators
Ableism,1,1
Anti-Semitism,1,1
Campaign,1,1
(extreme) right-wing self-portrayal,1,1
LGBTIQ* hostility,1,1
NS trivialization/glorification,1,1
Political opponents,1,1
Racism,1,1
Social-chauvinism,1,1
Total,1,1
