Value,Disaggregation combinations using this value,Number of indicators
Adlershof,1,1
Alt-Treptow,1,1
Altglienicke,1,1
Baumschulenweg,1,1
Bohnsdorf,1,1
Friedrichshagen,1,1
Gruenau,1,1
Johannisthal,1,1
Koepenick,1,1
Mueggelheim,1,1
Niederschoeneweide,1,1
Oberschoeneweide,1,1
Plaenterwald,1,1
Rahnsdorf,1,1
Schmoeckwitz,1,1
