Year,Status,Value
2017,No application,60
2017,In application,0
2017,Fairtrade-School certified,0
2018,No application,59
2018,In application,1
2018,Fairtrade-School certified,0
2019,No application,59
2019,In application,1
2019,Fairtrade-School certified,0
2020,No application,59
2020,In application,1
2020,Fairtrade-School certified,0
