Year,Group,Value
2017,Zugangspunkte Innenbereich,110
2018,Zugangspunkte Innenbereich,110
2019,Zugangspunkte Innenbereich,110
2020,Zugangspunkte Innenbereich,110
2021,Zugangspunkte Innenbereich,110
2017,Zugangspunkte Außenbereich,26
2018,Zugangspunkte Außenbereich,26
2019,Zugangspunkte Außenbereich,26
2020,Zugangspunkte Außenbereich,26
2021,Zugangspunkte Außenbereich,26
