Year,Sex,Value
2014,Women,22
2014,Men,34
2014,Total,56
2015,Women,22
2015,Men,34
2015,Total,56
2016,Women,22
2016,Men,33
2016,Total,55
2017,Women,19
2017,Men,36
2017,Total,55
2018,Women,19
2018,Men,34
2018,Total,53
2019,Women,19
2019,Men,36
2019,Total,55
2020,Women,18
2020,Men,37
2020,Total,55
2021,Women,18
2021,Men,37
2021,Total,55
